area_name,lat,lon,urban_rural_class,simd_decile,energy_capacity,energy_capacity_confidence,digital_connectivity,digital_connectivity_confidence,future_grid_headroom,future_grid_headroom_confidence,infrastructure_reuse,infrastructure_reuse_confidence,community_benefit,community_benefit_confidence,environmental_burden,environmental_burden_confidence,vulnerability_exposure,vulnerability_exposure_confidence,jobs_construction,jobs_operational,jobs_indirect
Falkirk,56.0014,-3.7838,Urban,4,70,medium,74,high,65,low,286.6,high,70,medium,82.8,high,27,high,320,55,100
Glasgow City,55.8642,-4.2518,Urban,2,55,medium,91,high,45,low,780.98,high,82,high,71.6,high,44,high,620,140,210
Highland,57.4778,-4.2247,Rural,6,48,medium,70,high,58,low,584.98,high,42,low,29.9,high,10,high,210,30,55
Dundee City,56.4620,-2.9707,Urban,3,62,medium,88,high,55,low,130.55,high,65,high,64.4,high,38,high,420,90,135
West Lothian,55.8642,-3.6130,Suburban,5,68,medium,84,high,68,low,275.62,high,58,medium,82.8,high,20,high,280,65,90
Aberdeenshire,57.1015,-2.2426,Rural,8,58,medium,55,high,68,low,91.82,high,48,medium,61.1,high,3,high,250,45,70
Fife,56.1550,-3.2388,Urban,5,65,medium,78,high,58,low,698.05,high,60,medium,82.8,high,20,high,310,80,110
Argyll & Bute,56.2520,-5.6068,Rural,7,38,medium,32,high,42,low,48.07,high,32,low,54.0,high,10,high,140,25,45
